Title,Composer
"Коробейники (Korobeiniki)","Trad. Russe"
" Les yeux noirs - Dark eyes","Trad. Russia"
"(On the) Sunny Side of the Street","Jimmy McHugh"
"10 Steps Violin Practice","Marc Mouries"
"10-Step Violin Practice","Marc Mouries"
"1ere. Gymnopédie","Erik Satie (1866--1925)"
"Adagio in G minor","Remo Giazotto (1910–1998)"
"As Time Goes By","Herman Hupfeld"
"Ashokan Farewell","Jay Ungar"
"Auld Lang Syne","Traditional Scottish"
"Badinerie","Johann Sebastian Bach (1685–1750)"
"Basso - Gypsy in Am","Traditional Hungarian"
"Bear Dance","Traditional"
"Bella ciao","Arrangements:Marc Mouries"
"Bella Ciao","Traditional Italian"
"Bésame Mucho","Consuelo Velázquez"
"Bistro Fada","Stephane Wrembel"
"Black Eyes","Russian Folk Song"
"Blue Lou Lick","Stephane Grappelli"
"Blue Lou","Stephane Grappelli"
"Blues en Mineur","Django Reinhardt"
"Brandenburg Concerto No. 3","Johann Sebastian Bach"
"Bublitchki","Traditional Russian"
"Can she excuse my wrongs","John Dowland (1563--1626)"
"Canon in D","J. Pachelbel (1653-1706)"
"Canon Rock","J. Pachelbel (1653-1706)"
"Canon","J. Pachelbel (1653-1706)"
"Carol of the Bells","Mykola Leontovych (1877–1921)"
"Centone di Sonate","Niccolò Paganini (1782-1840)"
"Charlie Parker Minor Lick","Marc Mouries"
"Chicago","Fred Fisher"
"Chosen Kalle Mazel Tov","Traditional"
"Color Purple","Quincy Jones"
"Concerto in Sol Minore","Antonio Vivaldi (1678 – 1741)"
"Contraband Police","Lukasz Kapuscinski"
"Daphné","Django Reinhardt"
"Darby O' Gill - Fox Chase","Traditional"
"Dark eyes","Trad. Russia"
"Deck the Halls","Traditional Welsh"
"Devil's Dream","Traditional"
"Down To The River To Pray","Traditional American"
"Dr. Gilbert's","Traditional"
"Eine kleine Nachtmusik","Wolfgang Amadeus Mozart (1756-1791)"
"Eine Kleine Nachtmusik","W. A. Mozart"
"Emma's Waltz","Traditional Finnish"
"Erev shel Shoshanim","Yosef Hadar"
"Etude № 2","Kreutzer"
"Formatting of piece headers","Marc Mouries"
"from the Movie Swing (2002)","Mandino Reinhardt & Tchavolo Schmitt"
"Für Elise","Ludwig van Beethoven"
"Gammes de Blues","Marc Mouries"
"Gari Gari","Traditional Hungarian"
"Gary Owen","Traditional Irish"
"Greensleeves Jig","Traditional English"
"Greensleeves","Traditional"
"Hallelujah","Leonard Cohen"
"Happy Birthday","Patty Hill and Mildred J. Hill (1893)"
"Hatikvah (The Hope)","Traditional"
"Hedgehog Video Music","Unknown"
"Hevenu shalom aleichem","Trad. Jewish"
"Hier Encore","Charles Aznavour"
"Hora Mărțișorului","Grigoraș Dinicu (1889-1949)"
"Humoresque","Antonín Dvořák (1841–1904)"
"I Saw Three Ships","Traditional English"
"Ievan polkka","Trad. Finish Folk Song"
"Ievan Polkka","Arr: Benjamin Tayehanpour"
"ii-V-I Lick in D. Em A7 D","Marc Mouries"
"Im Hashem Lo Yivneh Bayis","Traditional"
"Improvisations sur les folies d'Espagne","Marin Marais"
"In the Hall of the Mountain King","Edvard Grieg"
"In the Mood for Love","Shigeru Umebayashi"
"In The Mood For Love","Shigeru Umebayashi"
"Io Ti Penso Amore","Niccolò Paganini (1782-1840)"
"Irish  Medley","Martin Hayes"
"Jean Petit qui danse","Traditional French"
"Jerusalem Ridge","Bill Monroe"
"Jig Rhythm: 10-Minute Daily Routine","Marc Mouries"
"Jingle Bells","James Lord Pierpont"
"Joy to the World","George Frideric Handel (1685–1759)"
"Katyusha","Matvey Blanter"
"L'Air Mignonne","Simon Riopel"
"L'Apprenti Sorcier / The Sorcerer's Apprentice","Paul Dukas"
"La Rose Jaune","Traditional Hungarian"
"Let It Snow, Let It Snow, Let It Snow!","Jule Styne"
"Liebesleid"," Fritz Kreisler"
"Manhã De Carnaval","Luiz Bonfá"
"Minor Swing","Django Reinhardt & Stéphane Grappelli"
"Minuet in G","L. V. Beethoven (1770–1827) "
"Misty","Erroll Garner"
"Modes","Marc Mouries"
"Molly Bán","Traditional"
"Mori Shej","József Balogh (Kályi Jág)"
"Morning Mood","Edvard Grieg (1843-1907)"
"Moscow Nights","Vasily Solovyov-Sedoy"
"Muss I Denn","Traditional German"
"My Gypsy Jazz Practice","Marc Mouries"
"Nessun dorma","Giacomo Puccini"
"Nine by Nine","N. Picket"
"Numi numi - Hebrew Lullaby","Traditional Hebrew"
"Ode to Joy","L. V. Beethoven (1770–1827)"
"Odissea veneziana","G. P. Reverberi & D. Farina"
"Paddy Fahey's Jig","Traditional"
"Papirosen","Traditional"
"Passacaglia - Double-stops","Johan Halvorsen (1864-1935)"
"Passacaglia","Johan Halvorsen (1864-1935)"
"Petit Papa Noël","Raymond Vincy & Henri Martinet"
"Polyushko-polye","Lev Knipper (1898-1974)"
"Postscript","Marc Mouries"
"Practice Double Stops","Marc Mouries"
"Practice","Marc Mouries"
"Quizás, quizás, quizás","Osvaldo Farres"
"Reflections","Toshifumi Hinata"
"Rondo alla Turca (Turkish March)","Wolfgang Amadeus Mozart (1756-1791)"
"Rondo Alla Turca","W. A. Mozart"
"Russian Music - Polyushko Pole, Plaine, ma plaine(French) - The Cossack Patrol","Composed in 1934 by Lev Knipper (1898-1974)"
"Rythmes Gitans (Daisy)","Traditional"
"Rythmes Gitans","Traditional"
"Scheherazade – Mvt. 2: The Kalendar Prince","Nikolai Rimsky-Korsakov"
"Schindler's List","John Williams"
"Schubert Serenade (Practice)","Marc Mouries"
"Score Preview Example","Example Composer"
"Serenade - Overlay Fingerings","Franz Schubert (1797-1828)"
"Serenade","Franz Schubert"
"Sérénade","Mel Bonis (1858 – 1937)"
"Si Tu Savais","Django Reinhardt"
"Siciliana","Matteo Carcassi"
"Sicilienne","Maria-Theresia von Paradis (1759 – 1824)"
"Silent Night","Franz Gruber (1787–1863)"
"Solveig's Song","Edvard Grieg (1843-1907)"
"Something's Got a Hold on Me","Leroy Kirkland & Pearl Woods"
"Sous le ciel de Paris","Hubert Giraud"
"Spring (La Primavera)","Antonio Vivaldi (1678-1741)"
"Star Spangled Banner","John Stafford Smith"
"Stille  Nacht","Franz Gruber (1787-1863)"
"Summertime","G. Gershwin"
"Swallowtail Jig","Traditional"
"Symphony No.40 in G minor, K.550","Mozart, Wolfgang Amadeus"
"T'es Cap","Fiorenzo Carpi"
"Tango Flambe","Novi Novog"
"Tango To Evora","Loreena McKennitt"
"Tchavolo Swing","Dorado Schmitt"
"Teardrop Waltz","Reg Bouvette"
"The Butterfly","Tommy Potts"
"The Connaughtman's Rambles","Traditional"
"The First Noel","Traditional French (18th Century)"
"The First Noël","Traditional French (18th Century)"
"The Gift Of Falling","Liz Knowles"
"The Mad Lover","John Eccles (1668–1735)"
"The Musical Priest","Trad. Irish"
"The Trip To Sligo","Traditional"
"The Wellerman","Traditional"
"Theme from Schindler's List","John Williams"
"Themes from Edvard Grieg","Edvard Grieg (1843–1907)"
"Toreador Song","Georges Bizet (1838-1875)"
"Trip To Pakistan, The","Niall Kenny"
"Tsiganisky","Traditional Russian"
"Two Guitars","Trad. Russia"
"Up Sligo","Traditional"
"Violin Ringtone","Unknown"
"Violin Solo from Sheherazade","Nikolai Rimsky-Korsakov (1844 – 1908)"
"Vivaldi-Style","Marc Mouries"
"Waltz No. 2","Dmitri Shostakovich (1906-1975)"
"We Wish You a Merry Christmas","Traditional English"
"Wedding March (For Organ)","Felix Mendelssohn (1809–1847)"
"Wedding March","Felix Mendelssohn (1809–1847)"
"Whiskey in the Jar","Traditional Irish"
"Wiegenlied (Lullaby / Berceuse)","Johannes Brahms (1833–1897)"
"Wrong Roads","Steve Kroeger x Skye Holland"
"Yarou, Yarou","Traditional Hungarian"
"You are my Sunshine","Jimmie Davis and Charles Mitchell"
